Date,Close,High,Low,Open,Volume,RSI_month_end,momentum_3m
2022-12-30,51047.37890625,51970.63955157891,50977.88616950481,51702.59613841891,344500,22.61184453741329,0.07348634826024303
2023-01-31,58850.421875,59704.1898036859,58641.943659855766,59237.595703125,369900,70.58827989536547,0.052556831380634605
2023-02-28,58463.24609375,58761.07210543492,58205.1302169564,58344.11568907603,407600,39.14340525510315,0.030626424105101302
2023-03-31,64145.265625,64503.56346247091,63697.39332816137,63956.163988557026,700600,69.71135653074874,0.256582943128278
2023-04-28,60811.10546875,61119.63971908245,59069.37986203458,60751.389162234045,1332200,58.163270925247964,0.03331638977736717
2023-05-31,67479.4296875,68773.28305908924,67479.4296875,68753.37762260325,944500,68.90365167507707,0.154219688371253
2023-06-30,67529.1875,68205.9722826087,67131.07880434782,68205.9722826087,712400,36.4661606061709,0.05275403947631552
2023-07-31,63458.52734375,64752.380630244275,62781.74254773761,64692.66432471377,1689300,41.320532636927304,0.04353517099537796
2023-08-31,60233.84765625,60422.9492929765,59785.97535873988,60194.036785360215,925800,50.215525991690235,-0.10737467795452016
2023-09-29,55378.85546875,56197.06558558559,55029.6194432714,56197.06558558559,866100,34.94511929172661,-0.17992711716322662
2023-10-31,58023.0703125,58871.2149344368,57494.22719529235,58871.2149344368,1312500,59.760953171932535,-0.08565369003611667
2023-11-30,63211.72265625,63261.61351864641,62154.036373446135,62852.50844699586,760500,66.66666666666666,0.049438565123624656
2023-12-29,61984.40625,62353.5986246378,61605.23570307469,61854.6900102624,424200,59.96863244464739,0.11927929397127901
2024-01-31,66434.671875,66434.671875,65077.64042786873,65935.76325473115,838800,55.68721873982454,0.14496994931838136
2024-02-29,69887.1171875,70944.80342705954,69468.0339605047,70445.89482349371,713500,79.89798351869376,0.10560374327324196
2024-03-29,69670.0,70270.0,69270.0,70250.0,243600,37.991502164245176,0.12399237509837402
2024-04-30,70300.0,70800.0,69410.0,70800.0,908100,67.19442685243826,0.05818239205384801
2024-05-31,70690.0,70940.0,69370.0,70060.0,769600,49.1317671092952,0.011488280598925593
2024-06-28,70550.0,71030.0,69880.0,69900.0,539800,49.646107178968656,0.012630974594517008
2024-07-31,65890.0,66130.0,64170.0,65240.0,616200,21.17169373549885,-0.06273115220483638
2024-08-30,69610.0,70340.0,69050.0,70240.0,593400,75.60083594566353,-0.015277974253784077
2024-09-30,68360.0,70190.0,68290.0,69000.0,743200,65.74858757062147,-0.03104181431608788
2024-10-31,69780.0,70550.0,68900.0,69000.0,658200,52.85326086956522,0.05903779025648803
2024-11-29,64720.0,65280.0,64720.0,65240.0,378700,38.17891373801917,-0.07024852751041522
2024-12-30,64630.0,64850.0,64300.0,64800.0,384200,40.396039603960396,-0.05456407255705087
2025-01-31,67250.0,67570.0,67010.0,67440.0,624300,65.57377049180329,-0.0362568071080539
2025-02-28,59410.0,60300.0,58730.0,60180.0,878900,34.9867139061116,-0.08204573547589622
2025-03-31,58480.0,59400.0,58480.0,58900.0,706000,33.33333333333333,-0.09515704781061429
2025-04-30,59840.0,61270.0,59840.0,61230.0,1127900,72.36450268016677,-0.110185873605948
2025-05-30,60740.0,61180.0,60520.0,61050.0,799600,35.80508474576271,0.02238680356842293
2025-06-06,58080.0,58360.0,57660.0,57800.0,748400,18.37381203801479,-0.0068399452804377425
